tid,mjd,fid,diffmaglim
"ztf",59780.30783559987,1,16.839
"ztf",59780.37763890019,1,16.9489
"ztf",59782.29938660003,1,20.4186
"ztf",59782.36160880001,2,20.6309
"ztf",59784.366169000044,1,20.8589
"ztf",59786.35092590004,1,20.8545
"ztf",59788.38914350001,2,20.5084
"ztf",59790.281122699846,2,20.4661
"ztf",59790.3234490999,1,20.0466
"ztf",59790.323923599906,1,19.9348
"ztf",59798.34553240007,2,20.5825
"ztf",59805.30719910003,2,19.8194
"ztf",59805.404097199906,1,19.8713
"ztf",59842.26980319992,2,20.5658
"ztf",59843.26947919978,2,20.6704
"ztf",59844.28780090017,2,20.3183
"ztf",59845.16434030002,2,20.7566
"ztf",59847.22346059978,2,20.6109
"ztf",59849.151203699876,2,20.6709
"ztf",59849.17886570003,2,20.7198
"ztf",59851.18342590006,2,20.6754
"ztf",59853.26035880018,2,20.8045
"ztf",59859.24209489999,2,20.0738
"ztf",59859.2425694,2,19.9739
"ztf",59861.26396990009,2,19.4751
"ztf",59863.22443290008,2,19.9565
"ztf",59894.12123840023,2,20.3312
"ztf",59894.121712999884,2,19.2439
"ztf",59894.18553239992,1,17.3972
"ztf",59896.15596059989,1,19.8691
"ztf",59900.119340300094,2,19.6203
"ztf",59900.13862269977,1,17.8132
"ztf",59904.11594909988,2,20.386
"ztf",59906.13570600003,2,20.3718
"ztf",59911.103136599995,2,18.3951
"ztf",59913.158044000156,2,19.9518
"ztf",59914.13677080022,2,19.7835
"ztf",59914.18304400006,1,19.4844
"ztf",60036.46668979991,2,19.7794
"ztf",60045.44706019992,2,20.1638
"ztf",60049.48840280017,2,20.5671
"ztf",60055.45393519988,1,20.4941
"ztf",60065.42768519977,2,18.8848
"ztf",60079.42642359994,2,20.6484
"ztf",60084.40818289993,2,19.8013
"ztf",60090.45296300016,2,19.6804
"ztf",60172.282835599966,2,20.2628
"ztf",60172.290705999825,2,17.5463
"ztf",60180.314999999944,2,19.4785
"ztf",60183.372858799994,2,20.5056
"ztf",60185.2185531999,2,20.1728
"ztf",60185.452951400075,1,19.6464
"ztf",60186.23645830015,2,19.8294
"ztf",60187.17618060019,1,19.551
"ztf",60191.18085649982,2,20.3464
"ztf",60193.24278939981,1,20.7747
"ztf",60193.308923599776,2,20.533
"ztf",60194.21791670006,2,20.1952
"ztf",60194.28082180023,1,20.7178
"ztf",60195.2829167,2,20.6323
"ztf",60195.3275462999,1,20.5147
"ztf",60196.21460650023,2,20.5371
"ztf",60196.38631939981,1,20.4855
"ztf",60198.24649310019,1,20.3518
