version,name,fid,n,n_null,nan_pct
27.5.6,Timespan,0,4473306,0,0.0
27.5.6,ulens_chi,1,4473306,1008860,22.55289488356039
27.5.6,ulens_chi,2,4473306,1008033,22.534407438257073
27.5.6,ulens_fs,1,4473306,924300,20.662570367419534
27.5.6,ulens_fs,2,4473306,909121,20.32324638645333
27.5.6,ulens_mag0,1,4473306,924300,20.662570367419534
27.5.6,ulens_mag0,2,4473306,909121,20.32324638645333
27.5.6,ulens_t0,1,4473306,924300,20.662570367419534
27.5.6,ulens_t0,2,4473306,909121,20.32324638645333
27.5.6,ulens_tE,1,4473306,924300,20.662570367419534
27.5.6,ulens_tE,2,4473306,909121,20.32324638645333
27.5.6,ulens_u0,1,4473306,924300,20.662570367419534
27.5.6,ulens_u0,2,4473306,909121,20.32324638645333
27.5.6,W1-W2,0,4472098,917636,20.519138891857917
27.5.6,W2-W3,0,4472098,921952,20.61564840484265
27.5.6,W3-W4,0,4473306,922560,20.623672961340002
27.5.7a32.dev1,Amplitude,1,4959853,3343461,67.4104857543157
27.5.7a32.dev1,Amplitude,2,4959853,3326359,67.0656771480929
27.5.7a32.dev1,AndersonDarling,1,4959853,3343461,67.4104857543157
27.5.7a32.dev1,AndersonDarling,2,4959853,3326359,67.0656771480929
27.5.7a32.dev1,Autocor_length,1,4959853,3343461,67.4104857543157
27.5.7a32.dev1,Autocor_length,2,4959853,3326359,67.0656771480929
27.5.7a32.dev1,Beyond1Std,1,4959853,3343461,67.4104857543157
27.5.7a32.dev1,Beyond1Std,2,4959853,3326359,67.0656771480929
27.5.7a32.dev1,color_variation,12,4961702,2564780,51.69153649292118
27.5.7a32.dev1,Con,1,4959853,3343461,67.4104857543157
27.5.7a32.dev1,Con,2,4959853,3326359,67.0656771480929
27.5.7a32.dev1,Coordinate_x,0,4961702,0,0.0
27.5.7a32.dev1,Coordinate_y,0,4961702,0,0.0
27.5.7a32.dev1,Coordinate_z,0,4961702,0,0.0
27.5.7a32.dev1,dbrightness_first_det_band,1,4961702,4546728,91.63645861843375
27.5.7a32.dev1,dbrightness_first_det_band,2,4961702,4457221,89.83250102484995
27.5.7a32.dev1,dbrightness_forced_phot_band,1,4961702,4546728,91.63645861843375
27.5.7a32.dev1,dbrightness_forced_phot_band,2,4961702,4457221,89.83250102484995
27.5.7a32.dev1,delta_period,1,4959853,2212526,44.608701104649676
27.5.7a32.dev1,delta_period,2,4959853,2252712,45.41892673028818
27.5.7a32.dev1,distpsnr1,0,4961702,1635842,32.96937220332862
27.5.7a32.dev1,Eta_e,1,4959853,3343461,67.4104857543157
27.5.7a32.dev1,Eta_e,2,4959853,3326359,67.0656771480929
27.5.7a32.dev1,ExcessVar,1,4959853,3343461,67.4104857543157
27.5.7a32.dev1,ExcessVar,2,4959853,3326359,67.0656771480929
27.5.7a32.dev1,fleet_a,1,4961702,2025840,40.829537928718814
27.5.7a32.dev1,fleet_a,2,4961702,2081536,41.95205596789166
27.5.7a32.dev1,fleet_chi,1,4961702,2255024,45.44859808186788
27.5.7a32.dev1,fleet_chi,2,4961702,2316772,46.69309039519101
27.5.7a32.dev1,fleet_m0,1,4961702,2025840,40.829537928718814
27.5.7a32.dev1,fleet_m0,2,4961702,2081536,41.95205596789166
27.5.7a32.dev1,fleet_t0,1,4961702,2025840,40.829537928718814
27.5.7a32.dev1,fleet_t0,2,4961702,2081536,41.95205596789166
27.5.7a32.dev1,fleet_w,1,4961702,2025840,40.829537928718814
27.5.7a32.dev1,fleet_w,2,4961702,2081536,41.95205596789166
27.5.7a32.dev1,GP_DRW_sigma,1,4959853,3190717,64.33087835466091
27.5.7a32.dev1,GP_DRW_sigma,2,4959853,3194918,64.41557844557087
27.5.7a32.dev1,GP_DRW_tau,1,4959853,3190717,64.33087835466091
27.5.7a32.dev1,GP_DRW_tau,2,4959853,3194918,64.41557844557087
27.5.7a32.dev1,g-r_max,12,4959853,1755311,35.39038354564137
27.5.7a32.dev1,g-r_max_corr,12,4959853,1799738,36.28611573770432
27.5.7a32.dev1,g-r_mean,12,4959853,1755311,35.39038354564137
27.5.7a32.dev1,g-r_mean_corr,12,4959853,1799738,36.28611573770432
27.5.7a32.dev1,Gskew,1,4959853,3343461,67.4104857543157
27.5.7a32.dev1,Gskew,2,4959853,3326359,67.0656771480929
27.5.7a32.dev1,g-W1,0,4961702,4961702,100.0
27.5.7a32.dev1,g-W2,0,4959853,4959853,100.0
27.5.7a32.dev1,g-W3,0,4959853,4959853,100.0
27.5.7a32.dev1,g-W4,0,4961702,4961702,100.0
27.5.7a32.dev1,Harmonics_chi,1,4961702,2228767,44.91940467202585
27.5.7a32.dev1,Harmonics_chi,2,4961702,2274628,45.843704438517264
27.5.7a32.dev1,Harmonics_mag_1,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_mag_1,2,4959853,2202915,44.41492520040413
27.5.7a32.dev1,Harmonics_mag_2,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_mag_2,2,4959853,2202915,44.41492520040413
27.5.7a32.dev1,Harmonics_mag_3,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_mag_3,2,4959853,2202915,44.41492520040413
27.5.7a32.dev1,Harmonics_mag_4,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_mag_4,2,4959853,2202915,44.41492520040413
27.5.7a32.dev1,Harmonics_mag_5,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_mag_5,2,4959853,2202915,44.41492520040413
27.5.7a32.dev1,Harmonics_mag_6,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_mag_6,2,4959853,2202915,44.41492520040413
27.5.7a32.dev1,Harmonics_mag_7,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_mag_7,2,4959853,2202915,44.41492520040413
27.5.7a32.dev1,Harmonics_mse,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_mse,2,4959853,2202915,44.41492520040413
27.5.7a32.dev1,Harmonics_phase_2,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_phase_2,2,4959853,2202915,44.41492520040413
27.5.7a32.dev1,Harmonics_phase_3,1,4959853,2167201,43.69486353728629
27.5.7a32.dev1,Harmonics_phase_3,2,4959853,2202915,44.41492520040413
