version,name,fid,n,n_null,nan_pct
27.5.6,StetsonK,2,2214,1462,66.03432700993676
27.5.6,Amplitude,1,2176,1424,65.44117647058823
27.5.7a32.dev1,MHPS_ratio,1,2430,1825,75.10288065843622
27.5.7a32.dev1,LinearTrend,1,2518,1716,68.14932486100079
27.5.7a32.dev1,Harmonics_mag_1,1,2481,1068,43.04715840386941
27.5.7a32.dev1,sigma_distnr,12,2474,80,3.2336297493936943
27.5.6,Harmonics_mag_1,1,2172,1065,49.033149171270715
27.5.6,fleet_m0,2,2268,1049,46.25220458553792
27.5.6,Harmonics_phase_4,2,2172,1098,50.552486187845304
27.5.6,ulens_mag0,2,2207,457,20.706841866787496
27.5.6,MHPS_non_zero,1,2225,1624,72.98876404494382
27.5.7a32.dev1,Harmonics_mag_6,2,2533,1093,43.1504145282274
27.5.6,r-W1,0,2175,747,34.3448275862069
27.5.6,Psi_eta,2,2145,1304,60.79254079254079
27.5.7a32.dev1,Mean,1,2551,1721,67.46373970991768
27.5.7a32.dev1,Autocor_length,2,2531,1704,67.32516791781904
27.5.6,MaxSlope,1,2221,1458,65.64610535794687
27.5.6,delta_period,1,2146,1088,50.69897483690587
27.5.6,MHPS_ratio_365_30,1,2203,1612,73.17294598275079
27.5.7a32.dev1,Power_rate_3,12,2516,940,37.36089030206677
27.5.7a32.dev1,Amplitude,1,2497,1677,67.1605927112535
27.5.7a32.dev1,ulens_t0,1,2466,432,17.51824817518248
27.5.6,color_variation,12,2281,1334,58.483121437965806
27.5.6,Gskew,2,2222,1474,66.33663366336634
27.5.6,max_brightness_after_band,2,2135,376,17.611241217798593
27.5.7a32.dev1,r-W1,0,2457,2457,100.0
27.5.7a32.dev1,Harmonics_mag_4,2,2495,1102,44.168336673346694
27.5.6,median_brightness_before_band,1,2237,1878,83.95172105498436
27.5.6,AndersonDarling,1,2186,1433,65.55352241537054
27.5.7a32.dev1,ps_g-r,0,2431,850,34.96503496503497
27.5.6,Std,2,2230,1479,66.32286995515695
27.5.7a32.dev1,max_brightness_after_band,2,2496,337,13.501602564102564
27.5.7a32.dev1,ulens_u0,2,2479,396,15.974183138362243
27.5.6,SPM_beta,2,2279,107,4.6950416849495396
27.5.7a32.dev1,fleet_t0,2,2531,1003,39.62860529435006
27.5.6,LinearTrend,2,2181,1440,66.02475928473177
27.5.7a32.dev1,LinearTrend,2,2574,1679,65.22921522921523
27.5.6,Psi_CS,1,2152,1283,59.61895910780669
27.5.7a32.dev1,g-W3,0,2450,2450,100.0
27.5.6,MedianBRP,2,2225,1487,66.8314606741573
27.5.6,Harmonics_mag_1,2,2177,1104,50.71198897565457
27.5.7a32.dev1,max_brightness_before_band,2,2491,2128,85.42753914090727
27.5.6,Psi_eta,1,2145,1284,59.86013986013986
27.5.6,SPM_tau_fall,1,2240,86,3.8392857142857144
27.5.7a32.dev1,GP_DRW_tau,1,2495,1577,63.206412825651306
27.5.7a32.dev1,Harmonics_phase_4,1,2439,1066,43.70643706437065
27.5.7a32.dev1,Period_band,2,2535,1109,43.747534516765285
27.5.6,IAR_phi,2,2180,1445,66.28440366972477
27.5.6,Autocor_length,1,2197,1432,65.1797906235776
27.5.6,fleet_t0,1,2260,1009,44.64601769911504
27.5.7a32.dev1,fleet_chi,1,2472,1133,45.833333333333336
27.5.7a32.dev1,MedianAbsDev,1,2598,1726,66.43571978444957
27.5.7a32.dev1,MHPS_non_zero,2,2413,1791,74.22295897223374
27.5.7a32.dev1,Harmonics_mag_5,2,2522,1107,43.89373513084853
27.5.6,TDE_decay,1,2304,187,8.116319444444445
27.5.7a32.dev1,mean_chinr,12,2481,77,3.1035872632003225
27.5.7a32.dev1,Eta_e,2,2537,1686,66.45644461962948
27.5.6,fleet_m0,1,2287,1013,44.293834717971144
27.5.7a32.dev1,last_brightness_before_band,2,2478,2108,85.0686037126715
27.5.7a32.dev1,SPM_chi,2,2524,379,15.015847860538827
27.5.6,SF_ML_amplitude,1,2201,1462,66.42435256701499
27.5.6,Pvar,2,2221,1452,65.37595677622693
27.5.6,SPM_tau_fall,2,2296,110,4.790940766550523
27.5.7a32.dev1,SmallKurtosis,1,2511,1699,67.66228594185583
27.5.6,fleet_a,2,2277,1037,45.54238032498902
