oid,candid,mjd,fid,pid,diffmaglim,isdiffpos,nid,ra,dec,magpsf,sigmapsf,magap,sigmagap,distnr,rb,rbversion,drb,drbversion,magapbig,sigmagapbig,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,corrected,dubious,parent_candid,has_stamp,step_id_corr
ZTF17aaadosl,907458551715015001,58661.45855320012,1,907458551715,20.519474,1,907,311.6274067,4.3493801,16.877842,0.08205792,16.9972,0.0203,0.43444633,0.8814286,t17_f5_c3,0.99961567,d6_m7,16.997,0.0233,491120117,15.477385,0.013495223,0.022591116,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,908322451715010002,58662.322453700006,2,908322451715,20.586588,-1,908,311.6274038,4.3494904,17.338964,0.10077119,17.4168,0.0288,0.054800574,0.8814286,t17_f5_c3,0.99836457,d6_m7,17.398,0.0333,491120217,15.831889,0.008292625,0.02514817,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,909421031715010002,58663.42103009997,2,909421031715,19.85228,-1,909,311.6273955,4.3494794,17.233416,0.06544039,17.2204,0.0377,0.012547336,0.89285713,t17_f5_c3,0.9999964,d6_m7,17.1917,0.045,491120217,15.859911,100.0,0.018469034,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,911420471715010002,58665.42047449993,2,911420471715,20.691166,-1,911,311.6273875,4.3495225,17.58586,0.08615522,17.6632,0.0339,0.14060554,0.81714284,t17_f5_c3,0.9976208,d6_m7,17.6698,0.0398,491120217,15.7781315,100.0,0.01630011,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,911460311715010006,58665.46031250013,1,911460311715,20.586054,-1,911,311.627409,4.3494646,17.438692,0.10229946,17.2341,0.0219,0.13145854,0.61714286,t17_f5_c3,0.99996054,d6_m7,17.2055,0.0252,491120117,16.106035,100.0,0.029978555,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,926444431715015002,58680.44443289982,1,926444431715,19.088802,1,926,311.6273985,4.3493373,18.009382,0.1817183,18.526,0.2086,0.5830592,0.60714287,t17_f5_c3,0.96302104,d6_m7,18.6792,0.3053,491120117,15.690484,100.0,0.021470364,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,930443771715010006,58684.44377310015,2,930443771715,19.580597,-1,930,311.6273647,4.3494393,17.092539,0.044761237,17.1126,0.0388,0.1774682,0.94857144,t17_f5_c3,0.9999993,d6_m7,17.1047,0.0483,491120217,15.903217,100.0,0.0149683375,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,937331501715015004,58691.33150460012,1,937331501715,20.657892,1,937,311.6274068,4.3494128,16.610905,0.120290145,16.8398,0.017,0.31459194,0.57857144,t17_f5_c3,0.6542279,d6_m7,16.8316,0.019,491120117,15.397115,0.03554796,0.039329104,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,943395241715010003,58697.39524309989,2,943395241715,20.54072,-1,943,311.6273805,4.3494979,17.560287,0.07075021,17.5408,0.0324,0.07264675,0.92,t17_f5_c3,0.9997865,d6_m7,17.5465,0.0384,491120217,15.783038,100.0,0.013766641,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,952391081715010003,58706.39108800003,2,952391081715,20.022655,-1,952,311.6273881,4.3494094,17.156137,0.044867687,17.1618,0.031,0.26155123,0.81857145,t17_f5_c3,0.99999416,d6_m7,17.1073,0.0362,491120217,15.882755,100.0,0.013886111,True,False,0,True,corr_bulk_0.0.1
