aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF24aaecooj2603331463015",true,-4.2013591,false,"",100,100,100,"",2,false,-1,100,100,60357.331469899975,"ZTF24aaecooj",2603332401915015000,2603331463015,146.0198785,"","ztf",0.07671300321817398,0.07716099917888641,-99999,0.10865099728107452,0.00001048400008585304,-99999,20.38409996032715,-99999,30,417,-99999,26.26259994506836,0.02186880074441433,0.00000652170001558261,"61",1,-99999,30,417120230,373.87200927734375,1.9421000480651855,7.0584001541137695,-99999,-99999
"","ZTF24aaecooj2601314672915",true,-4.2013591,false,"",100,100,100,"",1,false,-1,100,100,60355.314675900154,"ZTF24aaecooj",2603332401915015000,2601314672915,146.0198785,"","ztf",0.08181700110435486,0.07381899654865265,-99999,-0.07649459689855576,0.000014543000361300074,-99999,20.581499099731445,-99999,30,417,-99999,26.26569938659668,0.026480700820684433,0.000008877200343704317,"61",1,-99999,29,417120129,156.29600524902344,1.8042999505996704,5.85276985168457,-99999,-99999
"","ZTF24aaecooj2603377763015",true,-4.2013527,false,"",100,100,100,"",1,false,-1,100,100,60357.377766199876,"ZTF24aaecooj",2603378701915015000,2603377763015,146.01987,"","ztf",0.08486700057983398,0.07483299821615219,-99999,-0.07180359959602356,0.00001611709922144655,-99999,20.569599151611328,-99999,30,417,-99999,26.289100646972656,0.02714489959180355,0.0000100030001703999,"61",1,-99999,30,417120130,158.49099731445312,1.9120999574661255,6.067049980163574,-99999,-99999
"","ZTF24aaecooj2599312583015",true,-4.2013527,false,"",100,100,100,"",2,false,-1,100,100,60353.31258099992,"ZTF24aaecooj",2603378701915015000,2599312583015,146.01987,"","ztf",0.08156300336122513,0.07302699983119965,-99999,0.10827899724245071,0.000010378200386185199,-99999,20.375200271606445,-99999,30,417,-99999,26.256500244140625,0.021796399727463722,0.00000644430019747233,"61",1,-99999,30,417120230,372.635009765625,2.0432000160217285,6.6519598960876465,-99999,-99999
"","ZTF24aaecooj2620363283015",true,-4.2013556,false,"",100,100,100,"",2,false,-1,100,100,60374.363286999986,"ZTF24aaecooj",2624232511915015000,2620363283015,146.0198854,"","ztf",0.08271600306034088,0.0749019980430603,-99999,0.11397299915552139,0.000022353700842359103,-99999,19.729700088500977,-99999,30,417,-99999,25.75189971923828,0.032034099102020264,0.00001386700023431331,"61",1,-99999,30,417120230,233.9969940185547,1.948799967765808,8.216349601745605,-99999,-99999
"","ZTF24aaecooj2626271013015",true,-4.2013992,false,"",100,100,100,"",1,false,-1,100,100,60380.271018499974,"ZTF24aaecooj",2634249781915015000,2626271013015,146.0198771,"","ztf",0.08371800184249878,0.08072999864816666,-99999,-0.11291400343179703,0.00002859410051314626,-99999,20.46179962158203,-99999,30,417,-99999,26.229400634765625,0.03598960116505623,0.000017733900676830672,"61",1,-99999,30,417120130,146.0279998779297,2.1303999423980713,5.80757999420166,-99999,-99999
"","ZTF24aaecooj2620363282915",true,-4.2013992,false,"",100,100,100,"",2,false,-1,100,100,60374.363286999986,"ZTF24aaecooj",2634249781915015000,2620363282915,146.0198771,"","ztf",0.08612299710512161,0.07745999842882156,-99999,0.11456900089979172,0.00001703489942883607,-99999,19.707799911499023,-99999,30,417,-99999,25.829099655151367,0.028955599293112755,0.000010566400305833668,"61",1,-99999,29,417120229,260.13299560546875,2.184799909591675,8.273019790649414,-99999,-99999
"","ZTF24aaecooj2626271012915",true,-4.2013679,false,"",100,100,100,"",1,false,-1,100,100,60380.271018499974,"ZTF24aaecooj",2636339341915015000,2626271012915,146.0198766,"","ztf",0.08321399986743927,0.07667499780654907,-99999,-0.09094350039958954,0.000020100500478292815,-99999,20.503000259399414,-99999,30,417,-99999,26.24690055847168,0.030830400064587593,0.000012116400284867268,"61",1,-99999,29,417120129,151.8509979248047,1.9430999755859375,5.9883599281311035,-99999,-99999
"","ZTF24aaecooj2644366332915",true,-4.201275,false,"",100,100,100,"",2,false,-1,100,100,60398.36633099988,"ZTF24aaecooj",2667261451915015000,2644366332915,146.0198476,"","ztf",0.09167300164699554,0.08867499977350235,-99999,0.11401800066232681,0.000027303600290906616,-99999,19.248600006103516,-99999,30,417,-99999,26.167299270629883,0.035892900079488754,0.00001675689964031335,"61",1,-99999,29,417120229,351.3840026855469,3.2028000354766846,12.280799865722656,-99999,-99999
"","ZTF24aaecooj2635212372915",true,-4.2013802,false,"",100,100,100,"",1,false,-1,100,100,60389.21237270022,"ZTF24aaecooj",2649211251915015000,2635212372915,146.0198659,"","ztf",0.08070699870586395,0.07978899776935577,-99999,-0.04629620164632797,0.000037830199289601296,-99999,19.564599990844727,-99999,30,417,-99999,26.239299774169922,0.03554369881749153,0.000019341499864822254,"61",1,-99999,29,417120129,152.74200439453125,1.941100001335144,14.383299827575684,-99999,-99999
"","ZTF24aaecooj2641261383015",true,-4.2013668,false,"",100,100,100,"",2,false,-1,100,100,60395.261388900224,"ZTF24aaecooj",2653207871915015000,2641261383015,146.0198392,"","ztf",0.09775999933481216,0.09108199924230576,-99999,0.10386399924755096,0.00003726510112755932,-99999,19.01609992980957,-99999,30,417,-99999,26.197799682617188,0.03942489996552467,0.00002253640013805125,"61",1,-99999,30,417120230,351.27801513671875,3.0016000270843506,16.541900634765625,-99999,-99999
