oid,flat_base,flat_abl,top_base,top_abl
ZTF18acekymi,CV/Nova,CV/Nova,Periodic,Transient
ZTF18aceocrm,YSO,CV/Nova,Stochastic,Stochastic
ZTF18aceosmf,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acepejh,QSO,CV/Nova,Stochastic,Stochastic
ZTF18acepvbr,QSO,CV/Nova,Stochastic,Stochastic
ZTF18acessba,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18acesvtq,LPV,YSO,Periodic,Stochastic
ZTF18aceswah,LPV,YSO,Periodic,Stochastic
ZTF18aceudxt,RSCVn,EA,Periodic,Periodic
ZTF18acewizq,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF18acewqqi,EB/EW,EB/EW,Periodic,Periodic
ZTF18acexgav,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aceynsv,RSCVn,YSO,Periodic,Periodic
ZTF18acfampi,EA,CV/Nova,Periodic,Stochastic
ZTF18acfbybn,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acfcnzr,RSCVn,YSO,Periodic,Stochastic
ZTF18acfdahj,RSCVn,YSO,Periodic,Stochastic
ZTF18acfeqib,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acfgdta,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acfhcry,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acfirsu,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acfkmlj,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acfkrnk,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acfkylo,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acfmieo,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18acfmtyn,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acfmuwq,CEP,CV/Nova,Periodic,Transient
ZTF18acfohqv,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acfqgxw,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acfqiqn,RRLab,CV/Nova,Periodic,Periodic
ZTF18acfqwkw,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acfrlqg,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acfvklz,CEP,CEP,Periodic,Periodic
ZTF18acfwadv,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acfwrgv,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acfxngp,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acfyehf,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acfyyxe,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acgaahf,YSO,YSO,Periodic,Stochastic
ZTF18acgbcwo,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acgcbal,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acgcbhu,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acgcdtj,LPV,YSO,Periodic,Stochastic
ZTF18acgduzi,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acgebpw,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acgenfh,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acggewj,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18acghuni,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acgiahv,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acgjjbb,RSCVn,YSO,Periodic,Stochastic
ZTF18acgmsiu,YSO,YSO,Periodic,Stochastic
ZTF18acgnxlg,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acgpipw,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acgpqeq,LPV,YSO,Periodic,Periodic
ZTF18acgqfvx,YSO,CV/Nova,Stochastic,Stochastic
ZTF18acgsjfl,EA,EA,Periodic,Periodic
ZTF18acguckn,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acgvimp,EA,EA,Periodic,Periodic
ZTF18acgvrul,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acgvwhi,RSCVn,YSO,Periodic,Stochastic
ZTF18acgxrtu,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acgzffq,RSCVn,YSO,Periodic,Stochastic
ZTF18acgzspl,EA,YSO,Periodic,Stochastic
ZTF18achabpa,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18achatbn,RSCVn,YSO,Periodic,Stochastic
ZTF18achcjwm,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18achfbew,LPV,CV/Nova,Periodic,Periodic
ZTF18achfelo,YSO,YSO,Periodic,Stochastic
ZTF18achftjs,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18achgetm,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18achhcbk,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18achhdsf,QSO,CV/Nova,Stochastic,Stochastic
ZTF18achhhwp,CV/Nova,CV/Nova,Periodic,Transient
ZTF18achiwrg,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18achnlfi,EB/EW,EB/EW,Periodic,Periodic
ZTF18achrcaf,RSCVn,Microlensing,Periodic,Stochastic
ZTF18achshse,CV/Nova,CV/Nova,Periodic,Stochastic
