feature,feature_id,band,band_label,pct_missing_0,pct_missing_1-4,pct_missing_5-9,pct_missing_10-19,pct_missing_20-49,pct_missing_50+
SF_ML_gamma,80,1,g,100.0,100.0,84.71,37.3,13.05,1.84
SF_ML_gamma,80,2,r,100.0,100.0,89.46,43.06,12.22,1.75
SPM_A,83,1,g,53.93,6.12,0.73,0.18,0.12,0.08
SPM_A,83,2,r,56.71,10.38,2.19,1.07,0.24,0.0
SPM_beta,86,1,g,53.93,6.12,0.73,0.18,0.12,0.08
SPM_beta,86,2,r,56.71,10.38,2.19,1.07,0.24,0.0
SPM_chi,89,1,g,68.97,57.47,26.66,7.53,2.02,0.17
SPM_chi,89,2,r,71.35,60.27,31.53,9.78,2.32,0.08
SPM_gamma,85,1,g,53.93,6.12,0.73,0.18,0.12,0.08
SPM_gamma,85,2,r,56.71,10.38,2.19,1.07,0.24,0.0
SPM_t0,84,1,g,53.93,6.12,0.73,0.18,0.12,0.08
SPM_t0,84,2,r,56.71,10.38,2.19,1.07,0.24,0.0
SPM_tau_fall,88,1,g,53.93,6.12,0.73,0.18,0.12,0.08
SPM_tau_fall,88,2,r,56.71,10.38,2.19,1.07,0.24,0.0
SPM_tau_rise,87,1,g,53.93,6.12,0.73,0.18,0.12,0.08
SPM_tau_rise,87,2,r,56.71,10.38,2.19,1.07,0.24,0.0
Skew,73,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Skew,73,2,r,100.0,100.0,89.46,43.06,12.22,1.75
SmallKurtosis,74,1,g,100.0,100.0,84.71,37.3,13.05,1.84
SmallKurtosis,74,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Std,75,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Std,75,2,r,100.0,100.0,89.46,43.06,12.22,1.75
StetsonK,76,1,g,100.0,100.0,84.71,37.3,13.05,1.84
StetsonK,76,2,r,100.0,100.0,89.46,43.06,12.22,1.75
TDE_decay,91,1,g,62.64,31.11,4.9,1.46,0.47,0.08
TDE_decay,91,2,r,62.58,31.48,7.39,2.4,0.55,0.0
TDE_decay_chi,92,1,g,86.37,91.12,78.63,56.63,38.2,12.49
TDE_decay_chi,92,2,r,84.98,88.33,75.7,56.68,35.61,11.74
TDE_mag0,93,1,g,62.64,31.11,4.9,1.46,0.47,0.08
TDE_mag0,93,2,r,62.58,31.48,7.39,2.4,0.55,0.0
TDE_mjd_ref,94,1,g,62.64,31.11,4.9,1.46,0.47,0.08
TDE_mjd_ref,94,2,r,62.58,31.48,7.39,2.4,0.55,0.0
dbrightness_first_det_band,104,1,g,100.0,84.72,90.54,91.77,95.49,99.25
dbrightness_first_det_band,104,2,r,100.0,86.63,90.08,91.67,96.03,99.25
dbrightness_forced_phot_band,105,1,g,100.0,84.72,90.54,91.77,95.49,99.25
dbrightness_forced_phot_band,105,2,r,100.0,86.63,90.08,91.67,96.03,99.25
delta_period,33,1,g,93.47,88.24,59.51,33.22,12.04,1.89
delta_period,33,2,r,95.38,89.33,66.1,40.28,13.44,1.79
fleet_a,95,1,g,80.36,72.38,51.39,39.93,29.06,18.95
fleet_a,95,2,r,83.25,74.3,53.82,42.9,30.79,19.2
fleet_chi,97,1,g,84.87,76.76,56.59,43.55,30.78,20.04
fleet_chi,97,2,r,87.42,78.74,59.02,46.96,32.68,19.99
fleet_m0,98,1,g,80.36,72.38,51.39,39.93,29.06,18.95
fleet_m0,98,2,r,83.25,74.3,53.82,42.9,30.79,19.2
fleet_mjd_ref,100,1,g,80.36,72.38,51.39,39.93,29.06,18.95
fleet_mjd_ref,100,2,r,83.25,74.3,53.82,42.9,30.79,19.2
fleet_t0,99,1,g,80.36,72.38,51.39,39.93,29.06,18.95
fleet_t0,99,2,r,83.25,74.3,53.82,42.9,30.79,19.2
fleet_w,96,1,g,80.36,72.38,51.39,39.93,29.06,18.95
fleet_w,96,2,r,83.25,74.3,53.82,42.9,30.79,19.2
last_brightness_before_band,106,1,g,74.31,82.16,90.12,91.3,95.43,99.25
last_brightness_before_band,106,2,r,74.93,80.5,88.37,90.76,95.72,99.21
max_brightness_after_band,110,1,g,74.02,53.84,22.8,13.37,9.31,4.32
max_brightness_after_band,110,2,r,75.52,53.96,23.22,16.24,11.97,4.56
max_brightness_before_band,107,1,g,74.31,82.16,90.12,91.3,95.43,99.25
max_brightness_before_band,107,2,r,74.93,80.5,88.37,90.76,95.72,99.21
