oid,oid_kept
169342390833252102,169342390970090559
169342391258448349,169342390970089500
169342390704275563,169342390970089500
169342390684353094,169342390947021060
169342391103258632,169342390947021014
169342390809657474,169342390946496648
169342391082287140,169342390946496529
169342390809657362,169342390946496529
169342390808084537,169342390944923691
169342390808084493,169342390944923655
169342390678585444,169342390944923655
169342391228563566,169342390940205190
169342390674915440,169342390937583636
169342391340236842,169342390937583636
169342390800744520,169342390937583636
169342391071801617,169342390936010906
169342391338664303,169342390936010906
169342390661283929,169342390927622170
169342390790783008,169342390927622170
169342391074947132,169342390925000769
169342391208116347,169342390924476520
169342390801793130,169342390924476520
169342391074422817,169342390924476443
169342390672293982,169342390922903729
169342391327129699,169342390920806503
169342390673342538,169342390920806443
169342394429342156,169342390920806443
169342391207591957,169342390919233624
169342391055024231,169342390919233624
169342390785540117,169342390919233540
169342391058694159,169342390919233540
169342390667575484,169342390918185145
169342390723674152,169342390853173258
169342390970613846,169342390833774680
169342390728392708,169342390833774680
169342391777493163,169342390831677454
169342391103258632,169342390810181736
169342390701129737,169342390810181736
169342390946496648,169342390809657474
169342390680158271,169342390809657362
169342390946496529,169342390809657362
169342390944923691,169342390808084537
169342391076520408,169342390803890660
169342390674391127,169342390803890653
169342391228563518,169342390803365947
169298437882249291,169342390803365927
169342390674391063,169342390802317394
169342391074947145,169342390802317394
169342391208116347,169342390801793130
169342390924476520,169342390801793130
169342390920806503,169342390801268830
169342391070752902,169342390801268830
169342390673342538,169342390801268799
169342391331848208,169342390790783008
169342391063412788,169342390790783008
169342391211262342,169342390790782985
169342391059218529,169342390786588764
169342390922903610,169342390786064464
169342390672293905,169342390786064464
169342390970613846,169342390728392708
169342390833774680,169342390728392708
169342390853173258,169342390723674152
169342390828531797,169342390719479825
169342390961700948,169342390719479825
169342391364354134,169342390719479825
169355606584983630,169342390719479825
169342391105880122,169342390704275563
169342390970089500,169342390704275563
169342390829580420,169342390700081437
169342391253729294,169342390699556893
169342390963798108,169342390699556893
169355603385253971,169342390699556893
169342390947021060,169342390684353094
169342391082811411,169342390680682510
169342390945448064,169342390680682510
169342391349674038,169342390680682510
169355603893813438,169342390675963920
169342391229612056,169342390675439674
169342390804414483,169342390675439674
169342391073374225,169342390674915440
169342390803890653,169342390674391127
169342391075995696,169342390674391114
169342390802317377,169342390674391046
169355602684280998,169342390674391046
169342390801268799,169342390673342538
169342391058694249,169342390672818285
169342391208116323,169342390672818285
169342390922903729,169342390672293982
169342391327129606,169342390672293905
