angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M
0.000000,J025718.26+003532.8,44.3261240,+0.5924539,0.3651,0.3281,150.6,17.127,17.089,12.772,9.253,,,,0.114,0.444,,,,,,438100001351053248,0000,0,nnnn,BCUU,-12,905,-496,955,,J025718.26+003532.8,44.3261240,+0.5924539,0.3651,0.3281,150.6,17.127,17.089,12.772,9.253,,,,0.114,0.444,,,,,,438100001351053248,0000,0,nnnn,BCUU,-12,905,-496,955,
0.000000,J025715.84+003546.3,44.3160222,+0.5962037,0.5838,0.5332,150.2,17.816,16.526,12.748,8.744,,,,0.211,0.271,,,,,,438100001351053567,0000,0,nnnn,BBUU,-1306,1568,1268,1650,,J025715.84+003546.3,44.3160222,+0.5962037,0.5838,0.5332,150.2,17.816,16.526,12.748,8.744,,,,0.211,0.271,,,,,,438100001351053567,0000,0,nnnn,BBUU,-1306,1568,1268,1650,
0.000000,J025715.40+003510.8,44.3142047,+0.5863521,0.2321,0.2148,149.1,16.670,16.712,12.905,9.131,,,,0.074,0.296,,,,,,438100001351052745,0000,0,nnnn,ABUU,-583,549,-250,572,,J025715.40+003510.8,44.3142047,+0.5863521,0.2321,0.2148,149.1,16.670,16.712,12.905,9.131,,,,0.074,0.296,,,,,,438100001351052745,0000,0,nnnn,ABUU,-583,549,-250,572,
0.000000,J025719.74+003602.9,44.3322610,+0.6008208,0.1132,0.1057,138.4,15.649,15.466,12.954,8.995,16.457,15.991,16.794,0.042,0.096,,,0.129,0.184,,438100001351052364,0000,0,0nnn,AAUU,0,214,0,223,0.339,J025719.74+003602.9,44.3322610,+0.6008208,0.1132,0.1057,138.4,15.649,15.466,12.954,8.995,16.457,15.991,16.794,0.042,0.096,,,0.129,0.184,,438100001351052364,0000,0,0nnn,AAUU,0,214,0,223,0.339
0.000000,J025713.53+003612.4,44.3063782,+0.6034606,0.1419,0.1295,148.2,15.950,15.651,12.891,9.168,,,,0.050,0.115,,,,,,438100001351052427,0000,0,0nnn,ABUU,442,273,-252,288,,J025713.53+003612.4,44.3063782,+0.6034606,0.1419,0.1295,148.2,15.950,15.651,12.891,9.168,,,,0.050,0.115,,,,,,438100001351052427,0000,0,0nnn,ABUU,442,273,-252,288,
0.000000,J025715.43+003523.8,44.3142983,+0.5899620,0.2834,0.2536,148.6,16.847,16.576,12.141,9.152,,,,0.091,0.264,,,,,,438100001351052872,0000,0,nnnn,ABUU,-536,672,736,705,,J025715.43+003523.8,44.3142983,+0.5899620,0.2834,0.2536,148.6,16.847,16.576,12.141,9.152,,,,0.091,0.264,,,,,,438100001351052872,0000,0,nnnn,ABUU,-536,672,736,705,
0.000000,J025718.15+003631.7,44.3256460,+0.6088292,0.3944,0.3592,147.7,17.241,17.034,12.604,8.903,,,,0.125,0.386,,,,,,438100001351053372,0000,0,nnnn,BCUU,-668,1001,169,1048,,J025718.15+003631.7,44.3256460,+0.6088292,0.3944,0.3592,147.7,17.241,17.034,12.604,8.903,,,,0.125,0.386,,,,,,438100001351053372,0000,0,nnnn,BCUU,-668,1001,169,1048,
0.000000,J025716.32+003625.1,44.3180076,+0.6069986,0.4869,0.4435,153.2,17.552,16.473,12.730,9.246,,,,0.173,0.246,,,,,,438100001351053381,0000,0,nnnn,BBUU,-607,1294,3,1363,,J025716.32+003625.1,44.3180076,+0.6069986,0.4869,0.4435,153.2,17.552,16.473,12.730,9.246,,,,0.173,0.246,,,,,,438100001351053381,0000,0,nnnn,BBUU,-607,1294,3,1363,
0.000000,J025716.21+003608.9,44.3175565,+0.6024791,0.1411,0.1317,150.4,15.940,15.669,12.777,9.252,,,,0.050,0.117,,,,,,438100001351052445,0000,0,0nnn,ABUU,-61,292,297,305,,J025716.21+003608.9,44.3175565,+0.6024791,0.1411,0.1317,150.4,15.940,15.669,12.777,9.252,,,,0.050,0.117,,,,,,438100001351052445,0000,0,0nnn,ABUU,-61,292,297,305,
0.000000,J025720.35+003535.1,44.3348112,+0.5930923,0.2683,0.2391,153.8,16.879,16.102,12.443,8.998,,,,0.091,0.167,,,,,,438100001351050081,0000,0,nnnn,ABUU,-1285,623,-636,666,,J025720.35+003535.1,44.3348112,+0.5930923,0.2683,0.2391,153.8,16.879,16.102,12.443,8.998,,,,0.091,0.167,,,,,,438100001351050081,0000,0,nnnn,ABUU,-1285,623,-636,666,
