tid,mjd,fid,diffmaglim
"ztf",59443.18376159994,1,19.2408
"ztf",59447.19526620023,2,19.3274
"ztf",59458.19704859983,2,20.0224
"ztf",59460.1834028,1,20.1888
"ztf",59460.227083299775,2,19.7689
"ztf",59470.142222200055,2,20.0635
"ztf",59797.246435199864,1,19.9281
"ztf",59799.19586810004,2,19.607
"ztf",59802.22527780011,2,19.8114
"ztf",59805.1745023001,2,19.3942
"ztf",59807.16594910016,2,20.1884
"ztf",59807.25754630007,1,19.3971
"ztf",59809.246678200085,1,19.8219
"ztf",59812.21729170019,1,19.8965
"ztf",59823.19696759991,1,19.8321
