tid,mjd,fid,diffmaglim
"ztf",59825.157893499825,2,20.0954
"ztf",59828.15189810004,2,19.7325
"ztf",59842.143078700174,1,20.058
"ztf",59842.1832059999,2,19.7133
"ztf",59923.54771990003,2,19.289
"ztf",59923.55020829989,2,19.3079
"ztf",59923.55270829983,2,19.2702
"ztf",59923.555208299775,2,19.2177
"ztf",59923.55769680021,2,19.2367
"ztf",59951.49240740016,1,18.0518
"ztf",59951.548194400035,2,19.3099
"ztf",59951.579097200185,2,18.451
"ztf",59957.53962960001,1,18.7817
"ztf",59957.54010420013,1,19.0506
"ztf",59957.55189809995,2,18.3922
"ztf",59957.55237270007,2,18.2486
"ztf",59979.51246530004,2,19.4657
"ztf",59985.45262729982,1,19.4783
"ztf",59985.49668980017,2,19.6319
"ztf",59994.47167820018,2,20.2414
"ztf",60021.36399309989,1,17.791
"ztf",60021.45714120008,2,19.9369
"ztf",60032.407268499956,2,20.2775
"ztf",60032.4229629999,2,20.35
"ztf",60042.43752310006,2,19.6165
"ztf",60046.31105320016,1,20.7279
"ztf",60050.44096060004,2,20.5397
"ztf",60057.4208217999,2,18.9015
"ztf",60059.37011570018,1,20.6268
"ztf",60061.32444440015,2,20.3375
"ztf",60061.44290510006,2,20.5358
"ztf",60067.36527779978,2,19.2623
"ztf",60076.37472219998,2,20.592
"ztf",60078.30091439979,2,20.5228
"ztf",60078.301388899796,2,20.3893
"ztf",60080.28920139978,1,17.94
"ztf",60082.39532409981,1,20.6508
"ztf",60084.44820600003,2,19.3477
"ztf",60086.25425929995,1,20.7721
"ztf",60086.28898150008,1,20.8249
"ztf",60086.33077549981,2,20.849
"ztf",60086.33804399986,2,20.7978
"ztf",60090.32548609981,2,19.9418
"ztf",60092.327025500126,1,20.3197
"ztf",60099.21606480004,1,19.0497
"ztf",60100.25138889998,2,19.606
"ztf",60101.35243060021,2,19.6708
"ztf",60104.320196799934,2,20.6413
"ztf",60105.274791699834,2,20.0245
"ztf",60105.30894679995,1,17.4082
"ztf",60112.30296299979,2,20.3565
"ztf",60115.296469899826,2,20.6329
"ztf",60117.35306710005,2,20.4145
"ztf",60117.35354170017,2,20.3202
"ztf",60119.21304399986,2,20.5043
"ztf",60119.32319439994,2,20.4192
"ztf",60123.25434029987,1,20.06
"ztf",60123.279455999844,1,20.0927
"ztf",60125.31693289988,1,19.5165
"ztf",60127.20748839993,1,19.6042
"ztf",60127.208437500056,1,19.448
"ztf",60127.257696799934,2,19.5967
"ztf",60127.27688660007,2,19.5171
"ztf",60134.22804399999,2,20.6952
"ztf",60134.228993100114,2,20.6798
"ztf",60134.24740740005,1,20.8354
"ztf",60136.19437499996,1,20.7763
"ztf",60140.19579860009,1,20.4231
"ztf",60140.23598380014,2,20.4287
"ztf",60143.208194400184,1,20.7497
"ztf",60146.19547449984,2,20.482
"ztf",60146.20050929999,2,20.4902
"ztf",60146.25731479982,2,20.4384
"ztf",60148.26034720009,2,20.4395
"ztf",60148.260810200125,2,20.4191
"ztf",60148.28003469994,1,20.4713
"ztf",60150.19380789995,2,20.2291
"ztf",60152.23804400023,2,20.1902
"ztf",60152.23899309989,2,20.1703
"ztf",60155.23922450002,1,19.5447
"ztf",60155.25542820012,1,19.6369
"ztf",60155.277083300054,2,19.6619
"ztf",60155.30127310008,2,19.3792
"ztf",60161.208506899886,1,20.4882
"ztf",60162.20678240014,1,20.3314
"ztf",60162.23549770005,2,20.3145
"ztf",60165.20567130018,2,20.5272
"ztf",60166.25754630007,2,20.4624
"ztf",60169.28439809987,2,19.2147
"ztf",60173.17089120019,2,20.4607
"ztf",60178.23870369978,2,16.9918
"ztf",60181.247002299875,2,19.1452
"ztf",60182.1568287001,2,19.9512
"ztf",60182.212800899986,1,19.7221
"ztf",60184.15795140015,2,19.9653
"ztf",60188.1714583002,1,19.0977
"ztf",60188.22539350018,2,19.0879
"ztf",60188.22585650021,2,18.8943
"ztf",60196.208483799826,2,19.5817
